# index, _pos
1271,"array([-2.12498037, -1.48850996])"
1272,"array([-1.41485463, -2.11104168])"
1273,"array([-1.40806619, -2.03097856])"
1274,"array([-1.39856141, -2.08330458])"
1275,"array([-0.72220857, -1.11488276])"
1276,"array([-1.61626233, -1.99949813])"
1277,"array([-1.59265648, -1.9488296 ])"
1278,"array([-1.63309332, -1.97844644])"
1279,"array([-1.65085507, -1.94345689])"
1280,"array([-0.76708959, -1.49326091])"
1281,"array([-0.86996028, -1.45614723])"
1282,"array([-0.85498154, -1.12863208])"
1283,"array([-0.84281097, -1.16103475])"
1284,"array([-1.64656095, -1.59190487])"
1285,"array([-1.77616238, -1.20543725])"
1286,"array([-1.18545029, -1.84851777])"
1287,"array([-1.98188231, -1.24784212])"
1288,"array([-2.01510761, -1.23786666])"
1289,"array([-1.96065049, -1.25339688])"
1290,"array([-1.67804056, -1.29195813])"
1291,"array([-1.10931976, -1.62793927])"
1292,"array([-1.94488216, -1.13029423])"
1293,"array([-1.31585581, -1.3544571 ])"
1294,"array([-1.34292772, -1.34226289])"
1295,"array([-1.91642453, -2.1845912 ])"
1296,"array([-1.57850459, -1.14396032])"
1297,"array([-1.53904279, -1.12721261])"
1298,"array([-0.59698119, -1.22373404])"
1299,"array([-0.62555186, -1.2029151 ])"
1300,"array([-1.19605607, -1.88955108])"
1301,"array([-1.26775453, -1.9151574 ])"
1302,"array([-0.59526732, -1.26051369])"
1303,"array([-1.48401111, -1.27941647])"
1304,"array([-1.45950853, -1.29089841])"
1305,"array([-1.22036263, -1.41415846])"
1306,"array([-1.22793946, -1.39364045])"
1307,"array([-0.71651256, -1.06424823])"
1308,"array([-0.70390898, -1.04097577])"
1309,"array([-1.60980384, -1.88619754])"
1310,"array([-1.61063244, -1.83842737])"
1311,"array([-1.87898899, -2.12719158])"
1312,"array([-1.87883781, -2.07686675])"
1313,"array([-0.97144514, -1.4204022 ])"
1314,"array([-0.6393149 , -1.46921489])"
1315,"array([-0.58694869, -1.49169892])"
1316,"array([-1.63176121, -1.91599928])"
1317,"array([-0.99539786, -1.37590376])"
1318,"array([-1.25251621, -1.94490318])"
1319,"array([-1.27946689, -1.9441447 ])"
1320,"array([-1.59192351, -1.52797554])"
1321,"array([-1.65980787, -1.77590708])"
1322,"array([-1.54657151, -1.70844932])"
1323,"array([-1.01083662, -1.55015452])"
1324,"array([-1.06654542, -1.52116309])"
1325,"array([-1.20287379, -1.29520733])"
1326,"array([-1.18332603, -1.33692114])"
1327,"array([-1.12850099, -1.35061748])"
1328,"array([-1.16816124, -1.31900884])"
1329,"array([-0.66216938, -1.2206201 ])"
1330,"array([-0.69227623, -1.21249915])"
1331,"array([-2.0389469 , -1.48555689])"
1332,"array([-1.31079997, -1.94876276])"
1333,"array([-1.45193177, -1.52089733])"
1334,"array([-1.42074515, -1.52772647])"
1335,"array([-1.55804628, -2.01058257])"
1336,"array([-2.03452657, -1.401603  ])"
1337,"array([-2.01489127, -1.4223968 ])"
1338,"array([-0.93735549, -1.52153047])"
1339,"array([-1.72234068, -1.85801297])"
1340,"array([-1.71149858, -1.79527989])"
1341,"array([-1.75616304, -1.86067353])"
1342,"array([-1.68287123, -1.18421103])"
1343,"array([-1.68312402, -1.22832275])"
1344,"array([-1.27742072, -1.98403187])"
1345,"array([-1.30199294, -1.97538884])"
1346,"array([-1.46800208, -1.5751092 ])"
1347,"array([-1.84264448, -1.95015899])"
1348,"array([-1.58162668, -1.21008306])"
1349,"array([-1.55247851, -1.24780636])"
1350,"array([-1.62092692, -1.14071207])"
1351,"array([-1.83891125, -1.4204364 ])"
1352,"array([-1.64776198, -2.02364471])"
1353,"array([-1.86997044, -1.27690129])"
1354,"array([-1.89490348, -1.26859941])"
1355,"array([-0.56242533, -1.17473159])"
1356,"array([-1.56561259, -1.99059523])"
1357,"array([-1.55581477, -1.93646306])"
1358,"array([-1.704286  , -1.50998855])"
1359,"array([-1.83055652, -1.66797405])"
1360,"array([-1.37413215, -2.02819841])"
1361,"array([-1.40234721, -1.94741487])"
1362,"array([-1.37384514, -1.883186  ])"
1363,"array([-1.39394877, -1.9876122 ])"
1364,"array([-1.65618643, -1.15273692])"
1365,"array([-1.12306201, -1.49127469])"
1366,"array([-1.53976211, -1.44279223])"
1367,"array([-1.86483084, -1.35513809])"
1368,"array([-1.33414926, -1.59220533])"
1369,"array([-1.34925834, -1.56369445])"
1370,"array([-1.36944289, -1.86268316])"
1371,"array([-1.34618233, -1.81791272])"
1372,"array([-1.01890387, -1.61792017])"
1373,"array([-1.05462983, -1.54686045])"
1374,"array([-0.99919416, -1.62117812])"
1375,"array([-0.84786279, -1.31160196])"
1376,"array([-0.86801714, -1.32811485])"
1377,"array([-0.89456528, -1.20772409])"
1378,"array([-1.88111625, -1.24530456])"
1379,"array([-1.83100317, -1.26443476])"
1380,"array([-1.43959188, -1.58145235])"
1381,"array([-0.91111536, -1.11566967])"
1382,"array([-0.88590055, -1.14202758])"
1383,"array([-0.85947048, -1.08608723])"
1384,"array([-1.3053463 , -2.22002237])"
1385,"array([-1.32705145, -2.19927396])"
1386,"array([-1.96008079, -2.0757083 ])"
1387,"array([-1.94891828, -2.01638375])"
1388,"array([-1.89552524, -1.34944434])"
1389,"array([-1.76913461, -1.38093797])"
1390,"array([-1.5454712 , -1.53038601])"
1391,"array([-1.50231459, -1.53367151])"
1392,"array([-1.59860996, -1.13518619])"
1393,"array([-0.94701148, -1.06315232])"
1394,"array([-1.39198469, -1.56573442])"
1395,"array([-1.37622179, -1.49363333])"
1396,"array([-1.39580021, -1.50667326])"
1397,"array([-0.93117053, -1.08870557])"
1398,"array([-0.60711739, -1.29216458])"
1399,"array([-1.90989143, -1.32974749])"
1400,"array([-1.89279878, -1.31130156])"
1401,"array([-1.87157903, -1.33355864])"
1402,"array([-1.88196218, -1.02862582])"
1403,"array([-1.46666741, -1.77185917])"
1404,"array([-0.95902598, -1.04068878])"
1405,"array([-0.97101959, -1.23460932])"
1406,"array([-0.93934645, -1.29081953])"
1407,"array([-0.62301271, -1.39680928])"
1408,"array([-1.33283792, -1.35946491])"
1409,"array([-1.67337222, -1.31800562])"
1410,"array([-1.1265619 , -1.75111314])"
1411,"array([-1.64157917, -1.79325464])"
1412,"array([-1.63891345, -1.7655239 ])"
1413,"array([-1.56642356, -1.55244009])"
1414,"array([-1.54567335, -1.75174745])"
1415,"array([-1.6369972, -1.7441623])"
1416,"array([-1.56622363, -1.74033072])"
1417,"array([-0.51054767, -1.42875345])"
1418,"array([-1.21982584, -1.6979271 ])"
1419,"array([-1.17089963, -1.68862741])"
1420,"array([-1.7998642 , -1.37387459])"
1421,"array([-0.89399287, -1.32023668])"
1422,"array([-0.89603154, -1.34476303])"
1423,"array([-0.86639384, -1.2680723 ])"
1424,"array([-1.2287498 , -1.23853468])"
1425,"array([-1.52643194, -1.55780618])"
1426,"array([-1.5918223 , -1.16631861])"
1427,"array([-1.65624051, -1.20547352])"
1428,"array([-1.9366754, -1.4363358])"
1429,"array([-1.90102788, -1.472933  ])"
1430,"array([-1.24886747, -1.3407163 ])"
1431,"array([-1.21488911, -1.35711737])"
1432,"array([-1.29188535, -1.32164566])"
1433,"array([-1.18341307, -1.36883388])"
1434,"array([-0.90868446, -1.5587629 ])"
1435,"array([-1.66976174, -1.99254457])"
1436,"array([-1.68224   , -1.93331378])"
1437,"array([-2.11658442, -1.31986973])"
1438,"array([-1.52561213, -1.54021181])"
1439,"array([-1.58934652, -1.50735233])"
1440,"array([-1.57075907, -1.5110213 ])"
1441,"array([-0.82922029, -1.44768904])"
1442,"array([-0.90199585, -1.43603652])"
1443,"array([-0.93537689, -1.42293073])"
1444,"array([-1.34422911, -1.96444618])"
1445,"array([-1.34258723, -1.89139577])"
1446,"array([-1.90171684, -2.09754776])"
1447,"array([-1.87051553, -2.02525099])"
1448,"array([-1.78262158, -1.87096298])"
1449,"array([-1.63829765, -1.23266125])"
1450,"array([-1.38101908, -2.04874327])"
1451,"array([-0.99110766, -1.68879414])"
1452,"array([-1.52514729, -1.67622765])"
1453,"array([-1.19559105, -1.65174633])"
1454,"array([-1.20880986, -1.64758347])"
1455,"array([-1.24591528, -1.68403844])"
1456,"array([-1.22323289, -1.6668174 ])"
1457,"array([-1.24029163, -1.65534015])"
1458,"array([-1.29429875, -1.95542456])"
1459,"array([-1.0501006 , -1.34795463])"
1460,"array([-1.84088681, -1.97070795])"
1461,"array([-1.79290355, -1.8965676 ])"
1462,"array([-1.71289468, -1.92079398])"
1463,"array([-1.71076071, -1.98342445])"
1464,"array([-1.62836066, -2.08713543])"
1465,"array([-1.64775378, -2.08057639])"
1466,"array([-1.63145088, -2.04985019])"
1467,"array([-1.60229571, -1.89934981])"
1468,"array([-1.47706582, -1.9835487 ])"
1469,"array([-0.73709614, -1.45124797])"
1470,"array([-1.67382259, -1.34722663])"
1471,"array([-1.42981735, -1.96724005])"
1472,"array([-1.03259864, -1.75428028])"
1473,"array([-1.53460664, -2.00320289])"
1474,"array([-1.68316899, -1.61346932])"
1475,"array([-1.70903793, -1.618151  ])"
1476,"array([-0.86951517, -0.96488752])"
1477,"array([-1.77510874, -1.32662148])"
1478,"array([-1.77423514, -1.35255702])"
1479,"array([-1.21410849, -1.82697395])"
1480,"array([-1.19921523, -1.80372051])"
1481,"array([-0.01151438,  0.29727223])"
1482,"array([-0.00876702,  0.32566177])"
1483,"array([-0.67764152, -1.23764446])"
1484,"array([-1.49520201, -1.91027701])"
1485,"array([-1.47802427, -1.84278975])"
1486,"array([-1.43722541, -1.89350389])"
1487,"array([-1.45311697, -1.91633019])"
1488,"array([-1.78703648, -1.1747874 ])"
1489,"array([-1.59656242, -1.97106561])"
1490,"array([-1.49455776, -1.42185898])"
1491,"array([-1.08279434, -1.5059015 ])"
1492,"array([-0.87032688, -1.88857288])"
1493,"array([-0.89255858, -1.85397897])"
1494,"array([-0.79605195, -1.41532234])"
1495,"array([-1.39234388, -1.9116059 ])"
1496,"array([-1.85732199, -1.51754564])"
1497,"array([-1.09159488, -1.80559537])"
1498,"array([-1.14896274, -1.7968555 ])"
1499,"array([-1.14905519, -1.57173732])"
1500,"array([-1.14792827, -1.52555825])"
1501,"array([-2.02146857, -1.18772296])"
1502,"array([-1.41560193, -1.57655779])"
1503,"array([-1.93625225, -2.18024928])"
1504,"array([-1.86863102, -1.4622016 ])"
1505,"array([-1.62541273, -1.72813127])"
1506,"array([-1.46293658, -1.53839256])"
1507,"array([-1.3636319 , -1.54650795])"
1508,"array([-1.71412695, -1.16136531])"
1509,"array([-1.33062037, -1.23497784])"
1510,"array([-1.32767731, -1.27104744])"
1511,"array([-1.44309979, -1.2282405 ])"
1512,"array([-1.44603871, -1.36695953])"
1513,"array([-1.38124773, -1.34650961])"
1514,"array([-1.47833773, -1.51428455])"
1515,"array([-1.4130024 , -1.55047883])"
1516,"array([-1.579664  , -1.46419776])"
1517,"array([-0.47270938, -1.21111497])"
1518,"array([-0.40990738, -1.23194058])"
1519,"array([-1.66382623, -1.72150749])"
1520,"array([-1.69335822, -1.7118774 ])"
1521,"array([-1.63993649, -1.70885589])"
1522,"array([-1.66639308, -1.75876058])"
1523,"array([-0.7496828 , -1.44032291])"
1524,"array([-1.75430746, -1.43732983])"
1525,"array([-1.71766277, -1.48945787])"
1526,"array([-1.62910399, -1.53921795])"
1527,"array([-1.6019845 , -1.54794237])"
1528,"array([-1.39339346, -1.42392657])"
1529,"array([-1.40553473, -1.44870734])"
1530,"array([-1.5292119 , -1.95950178])"
1531,"array([-1.50468766, -1.88677513])"
1532,"array([-0.61609787, -1.21656822])"
1533,"array([-1.53028915, -1.93753046])"
1534,"array([-0.92992419, -1.76861271])"
1535,"array([-1.18258069, -1.77260928])"
1536,"array([-1.51117138, -1.96934836])"
1537,"array([-0.85015532, -1.41903585])"
1538,"array([-1.36714977, -1.81463763])"
1539,"array([-1.33065246, -1.83457554])"
1540,"array([-1.59190703, -1.79353895])"
1541,"array([-1.44556917, -1.64652835])"
1542,"array([-1.27055172, -2.09466433])"
1543,"array([-1.17944063, -1.63858531])"
1544,"array([-0.80632604, -1.58308408])"
1545,"array([-0.61806697, -1.72482641])"
1546,"array([-0.78803842, -0.89971112])"
1547,"array([-0.810567  , -1.54920812])"
1548,"array([-0.85765624, -1.49320637])"
1549,"array([-1.08341955, -1.77486757])"
1550,"array([-0.93118321, -1.58132498])"
1551,"array([-1.14884765, -1.70023952])"
1552,"array([-1.27986694, -1.58501316])"
1553,"array([-0.77804931, -0.92688512])"
1554,"array([-0.62266463, -1.56977358])"
1555,"array([-0.97047496, -1.28136326])"
1556,"array([-1.84119275, -2.06001023])"
1557,"array([-1.47401608, -2.1525756 ])"
1558,"array([-1.56904773, -2.02448189])"
1559,"array([-1.4129178 , -1.47313192])"
1560,"array([-1.03049825, -2.0375923 ])"
1561,"array([-0.97168874, -1.31091879])"
1562,"array([-0.5754841 , -1.19980472])"
1563,"array([-0.49328665, -1.37944265])"
1564,"array([-1.3751221 , -2.12039217])"
1565,"array([-0.83890136, -1.85006343])"
1566,"array([-1.15242822, -1.87779159])"
1567,"array([-1.15714042, -1.90112323])"
1568,"array([-1.13655544, -1.9038393 ])"
1569,"array([-1.39663435, -2.12944353])"
1570,"array([-1.30748935, -1.44247564])"
1571,"array([-1.24654071, -1.24216063])"
1572,"array([-0.64117862, -1.62571375])"
1573,"array([-0.88608696, -1.51165318])"
1574,"array([-0.88036077, -1.56859978])"
1575,"array([-0.64540326, -1.68698304])"
1576,"array([-1.92333038, -1.17230248])"
1577,"array([-1.36467791, -1.52155211])"
1578,"array([-0.45297103, -1.84403948])"
1579,"array([-1.16454339, -1.2853071 ])"
1580,"array([-1.08822304, -1.36639013])"
1581,"array([-1.14670527, -1.2048782 ])"
1582,"array([-1.14091057, -1.17425664])"
1583,"array([-1.0079032, -1.5254736])"
1584,"array([-1.75505479, -1.98171184])"
1585,"array([-0.82510575, -1.74121976])"
1586,"array([-1.41170626, -2.16019975])"
1587,"array([-1.77883546, -1.71474298])"
1588,"array([-1.73937271, -1.71434173])"
1589,"array([-1.71472989, -1.94942355])"
1590,"array([-0.40030264, -1.47672274])"
1591,"array([-0.89233811, -1.59768836])"
1592,"array([-0.88222563, -1.0678511 ])"
1593,"array([-1.90833227, -1.211193  ])"
1594,"array([-1.39240777, -1.25727822])"
1595,"array([-0.78858421, -1.56304937])"
1596,"array([-0.49291961, -1.69520762])"
1597,"array([-1.29752273, -1.73274454])"
1598,"array([-1.27420671, -1.71461435])"
1599,"array([-1.73211053, -1.97951479])"
1600,"array([-0.9597078, -1.6309509])"
1601,"array([-0.91434244, -1.65046199])"
1602,"array([-1.00630579, -1.75936959])"
1603,"array([-1.23664456, -1.71349565])"
1604,"array([-1.10255149, -1.94033279])"
1605,"array([-0.90125288, -1.81693863])"
1606,"array([-0.43231776, -1.90543994])"
1607,"array([-1.14974326, -1.97586177])"
1608,"array([-1.26183089, -1.79618223])"
1609,"array([-1.02935029, -1.60588312])"
1610,"array([-1.5549127 , -1.80996527])"
1611,"array([-1.1535124 , -1.59262984])"
1612,"array([-1.07662496, -2.09361473])"
1613,"array([-1.11048378, -2.11317178])"
1614,"array([-1.48043044, -2.02651561])"
1615,"array([-0.78995728, -0.97450532])"
1616,"array([-1.27338982, -2.14210946])"
1617,"array([-1.33758309, -2.00480723])"
1618,"array([-1.30473154, -1.46868979])"
1619,"array([-1.29091757, -1.99872681])"
1620,"array([-1.34286823, -1.98169311])"
1621,"array([-1.06477578, -1.48569398])"
1622,"array([-0.92749242, -1.60390736])"
1623,"array([-0.88733859, -1.64632125])"
1624,"array([-1.85594488, -1.39051126])"
1625,"array([-1.96013138, -1.44901875])"
1626,"array([-1.4241463, -2.1458959])"
1627,"array([-1.08361465, -2.06396278])"
1628,"array([-2.0457566 , -1.44436245])"
1629,"array([-1.57454766, -1.17556032])"
1630,"array([-1.87312649, -1.48027145])"
1631,"array([-1.40507161, -1.52256603])"
1632,"array([-1.7572185 , -1.41136429])"
1633,"array([-1.10770526, -1.82964036])"
1634,"array([-2.08698663, -1.48651782])"
1635,"array([-1.00709914, -1.29055981])"
1636,"array([-1.55296469, -1.34609298])"
1637,"array([-1.6038926 , -1.33223572])"
1638,"array([-0.83025288, -1.57828273])"
1639,"array([-2.13191606, -1.44347401])"
1640,"array([-0.48541715, -1.46815227])"
1641,"array([-0.51436407, -1.19814243])"
1642,"array([-0.49369315, -1.41610366])"
1643,"array([-0.91357976, -1.79073264])"
1644,"array([-1.23660603, -2.11789545])"
1645,"array([-0.44180901, -1.87860114])"
1646,"array([-1.54926309, -1.69199656])"
1647,"array([-1.37269292, -1.29769596])"
1648,"array([-1.12644208, -1.94706368])"
1649,"array([-1.45782066, -1.98833539])"
1650,"array([-1.79016539, -1.54550774])"
1651,"array([-0.76699888, -1.5158152 ])"
1652,"array([-1.12862914, -1.70749229])"
1653,"array([-0.56327722, -1.66338728])"
1654,"array([-1.46434548, -2.0474251 ])"
1655,"array([-1.37843203, -2.17841106])"
1656,"array([-1.33863953, -2.16914992])"
1657,"array([-1.1462659 , -1.26698406])"
1658,"array([-0.64822116, -1.60398845])"
1659,"array([-0.79917466, -1.00055086])"
1660,"array([-1.47127534, -1.21842736])"
1661,"array([-0.89309499, -1.74404719])"
1662,"array([-0.88834552, -1.70952621])"
1663,"array([-2.04483975, -1.42328497])"
1664,"array([-1.09474292, -2.02776462])"
1665,"array([-0.59782123, -1.70810218])"
1666,"array([-1.01989282, -1.3842765 ])"
1667,"array([-1.00875257, -1.33515897])"
1668,"array([-0.55428891, -1.55928592])"
1669,"array([-0.60964474, -1.65623246])"
1670,"array([-0.62379719, -1.62032071])"
1671,"array([-0.46347476, -1.55591794])"
1672,"array([-0.51376759, -1.51723297])"
1673,"array([-1.347988  , -2.18945403])"
1674,"array([-1.16979724, -1.94901437])"
1675,"array([-1.58572795, -2.12845807])"
1676,"array([-1.49503398, -1.44757397])"
1677,"array([-1.46309176, -1.46134204])"
1678,"array([-1.59431267, -1.74946504])"
1679,"array([-1.68262267, -1.91578998])"
1680,"array([-1.09033729, -1.68891811])"
1681,"array([-1.86541584, -1.71215768])"
1682,"array([-1.31708027, -2.11350355])"
1683,"array([-1.34843022, -1.1741048 ])"
1684,"array([-1.62294708, -1.63038472])"
1685,"array([-0.65934995, -1.63733261])"
1686,"array([-1.26000468, -1.73092561])"
1687,"array([-1.3630503 , -2.18828873])"
1688,"array([-1.35869005, -2.22596383])"
1689,"array([-0.52269944, -1.39839655])"
1690,"array([-0.97402065, -1.56386374])"
1691,"array([-0.98524584, -1.53623344])"
1692,"array([-0.92862497, -1.6739163 ])"
1693,"array([-0.65693725, -1.53635648])"
1694,"array([-1.41246812, -1.40335774])"
1695,"array([-1.37670453, -1.4421226 ])"
1696,"array([-0.79420568, -1.061596  ])"
1697,"array([-0.72635114, -1.39986696])"
1698,"array([-0.96185907, -1.83819143])"
1699,"array([-0.94217424, -1.80740901])"
1700,"array([-1.35490919, -2.00366765])"
1701,"array([-0.87294121, -1.09963828])"
1702,"array([-1.40836835, -2.19833233])"
1703,"array([-1.0023718 , -1.25214121])"
1704,"array([-0.703112 , -1.5420184])"
1705,"array([-1.77531331, -1.62746307])"
1706,"array([-1.5790191 , -2.09506881])"
1707,"array([-1.41729549, -1.18540911])"
1708,"array([-0.77245491, -1.54257615])"
1709,"array([-0.8200574 , -1.47975696])"
1710,"array([-0.88073435, -1.93653408])"
1711,"array([-0.44050696, -1.40951568])"
1712,"array([-1.48494939, -2.17776964])"
1713,"array([-1.42728835, -1.3579184 ])"
1714,"array([-0.54600772, -1.38725028])"
1715,"array([-1.04390743, -1.94617788])"
1716,"array([-0.41998823, -1.4533251 ])"
1717,"array([-1.7770078, -1.9474355])"
1718,"array([-0.98530417, -1.46484589])"
1719,"array([-1.82739866, -1.63152874])"
1720,"array([-0.60224633, -1.57286409])"
1721,"array([-0.84222296, -1.67772612])"
1722,"array([-0.8591611 , -1.70253666])"
1723,"array([-1.3162149 , -1.55083628])"
1724,"array([-0.7253736 , -1.54514214])"
1725,"array([-1.0408982 , -1.62970271])"
1726,"array([-1.07734266, -1.63059812])"
1727,"array([-1.35061402, -1.24414437])"
1728,"array([-1.28220152, -1.23644468])"
1729,"array([-1.9282781 , -1.46123158])"
1730,"array([-1.05115507, -1.14563344])"
1731,"array([-1.43415625, -1.39346518])"
1732,"array([-1.04986652, -1.83047076])"
1733,"array([-0.77453022, -1.5863281 ])"
1734,"array([-1.0731173 , -1.71325378])"
1735,"array([-1.70102458, -1.47348209])"
1736,"array([-1.31321256, -1.33264485])"
1737,"array([-1.59012302, -1.3062932 ])"
1738,"array([-1.57946548, -1.32917914])"
1739,"array([-0.57282828, -1.39025169])"
1740,"array([-0.62716003, -1.59750924])"
1741,"array([-0.41498611, -1.7996445 ])"
1742,"array([-0.51362944, -1.72710818])"
1743,"array([-0.4606695 , -1.76328571])"
1744,"array([-0.81131912, -1.52842033])"
1745,"array([-0.82352567, -1.79958026])"
1746,"array([-1.36070818, -1.28314981])"
1747,"array([-1.50537614, -2.12917427])"
1748,"array([-1.49038019, -2.06085267])"
1749,"array([-1.26228191, -1.27909229])"
1750,"array([-1.31084099, -1.21692191])"
1751,"array([-1.22217524, -2.14897911])"
1752,"array([-1.46778933, -2.01053426])"
1753,"array([-1.77104936, -2.03664663])"
1754,"array([-0.60580536, -1.68911819])"
1755,"array([-1.06580306, -1.59933475])"
1756,"array([-1.05631403, -1.56788452])"
1757,"array([-1.19655461, -2.08874451])"
1758,"array([-1.08849129, -1.74085345])"
1759,"array([-1.11866307, -1.73237578])"
1760,"array([-1.11972202, -1.54900727])"
1761,"array([-1.43865413, -1.60217352])"
1762,"array([-1.35677706, -1.42169472])"
1763,"array([-1.12547866, -1.3328921 ])"
1764,"array([-1.13721127, -1.148885  ])"
1765,"array([-1.70423987, -1.5450134 ])"
1766,"array([-0.51210279, -1.46307891])"
1767,"array([-0.5383342 , -1.44420212])"
1768,"array([-0.50073611, -1.61321663])"
1769,"array([-0.65962823, -1.71864825])"
1770,"array([-1.5604318 , -1.64994147])"
1771,"array([-0.59339475, -1.63216668])"
1772,"array([-0.7205922 , -1.64071678])"
1773,"array([-1.1220967 , -1.96949629])"
1774,"array([-2.04215074, -1.07364414])"
1775,"array([-1.36612484, -2.0656132 ])"
1776,"array([-0.99407449, -1.78793261])"
1777,"array([-1.77280653, -1.57355985])"
1778,"array([-1.35119077, -1.20333182])"
1779,"array([-1.14904675, -1.74758608])"
1780,"array([-0.99786143, -1.21903704])"
1781,"array([-1.04549493, -2.07401268])"
1782,"array([-1.1058543 , -1.76754325])"
1783,"array([-2.09755865, -1.33944457])"
1784,"array([-1.26593729, -1.12201526])"
1785,"array([-0.59982578, -1.40436318])"
1786,"array([-0.69925214, -1.57599972])"
1787,"array([-0.46546265, -1.37060631])"
1788,"array([-1.81219096, -1.53894189])"
1789,"array([-0.49669122, -1.53702349])"
1790,"array([-0.5774488 , -1.68357932])"
1791,"array([-0.34789498, -1.82272286])"
1792,"array([-0.35635955, -1.84616777])"
1793,"array([-0.37693595, -1.82156412])"
1794,"array([-0.78918559, -1.46481259])"
1795,"array([-0.74401702, -1.52345291])"
1796,"array([-0.75318779, -1.4874067 ])"
1797,"array([-0.79230803, -1.49777292])"
1798,"array([-1.32146472, -1.39118029])"
1799,"array([-1.30774151, -1.28234808])"
1800,"array([-1.17602728, -1.90768009])"
1801,"array([-2.06454958, -1.22682031])"
1802,"array([-1.04543792, -1.72227225])"
1803,"array([-1.10123587, -1.65824061])"
1804,"array([-0.48141093, -1.44374588])"
1805,"array([-0.61566463, -1.23148923])"
1806,"array([-1.13976706, -2.14464662])"
1807,"array([-1.15239938, -1.93548733])"
1808,"array([-0.54176105, -1.57753169])"
1809,"array([-2.02099294, -1.45981881])"
1810,"array([-1.17836599, -1.4884144 ])"
1811,"array([-1.54383728, -1.51199732])"
1812,"array([-0.68866234, -1.06106891])"
1813,"array([-1.12588611, -1.82945324])"
1814,"array([-1.59269683, -1.83488595])"
1815,"array([-0.68470566, -1.45142211])"
1816,"array([-0.53790706, -1.51361711])"
1817,"array([-1.66531751, -1.94375205])"
1818,"array([-1.43877849, -1.54585608])"
1819,"array([-0.9773687 , -1.34313775])"
1820,"array([-0.88253597, -1.79215947])"
1821,"array([-1.18159437, -1.45332869])"
1822,"array([-1.22985258, -1.28275698])"
1823,"array([-1.08553539, -1.90107144])"
1824,"array([-1.52270953, -1.36440242])"
1825,"array([-2.05169935, -1.54277506])"
1826,"array([-0.79877362, -1.03009687])"
1827,"array([-1.44504858, -1.25468333])"
1828,"array([-1.25915373, -1.69676974])"
1829,"array([-1.41552716, -1.15713567])"
1830,"array([-0.90369151, -1.97390297])"
1831,"array([-0.90181765, -1.57936338])"
1832,"array([-0.82336181, -1.60528514])"
1833,"array([-0.63191678, -1.71434968])"
1834,"array([-1.29636682, -2.14117591])"
1835,"array([-1.66814456, -1.59262654])"
1836,"array([-1.2303683, -1.9873534])"
1837,"array([-2.17865932, -1.22428907])"
1838,"array([-0.90674159, -1.61902267])"
1839,"array([-0.56849014, -1.58400043])"
1840,"array([-0.52941791, -1.60189374])"
1841,"array([-0.98026347, -1.25891318])"
1842,"array([-1.88262659, -1.92013652])"
1843,"array([-1.45719202, -1.34165899])"
1844,"array([-1.67511484, -1.78214791])"
1845,"array([-0.62824554, -1.35000885])"
1846,"array([-1.46777244, -2.11672871])"
1847,"array([-1.15157984, -2.11510799])"
1848,"array([-1.13185417, -1.78957347])"
1849,"array([-1.80512202, -1.60113224])"
1850,"array([-0.9261161 , -1.71989486])"
1851,"array([-0.66641288, -1.0499237 ])"
1852,"array([-1.94070195, -1.33352902])"
1853,"array([-1.7545839 , -1.58856283])"
1854,"array([-0.37685447, -1.47666198])"
1855,"array([-1.77126742, -1.97445728])"
1856,"array([-1.76463838, -2.01234169])"
1857,"array([-0.51227446, -1.3746377 ])"
1858,"array([-0.65411251, -1.50802575])"
1859,"array([-1.87709752, -1.2231267 ])"
1860,"array([-1.7081993, -1.1850189])"
1861,"array([-0.96602615, -1.58907331])"
1862,"array([-0.57093656, -1.72842874])"
1863,"array([-2.04112653, -1.28665703])"
1864,"array([-1.47317109, -1.81905745])"
1865,"array([-1.73287524, -2.0412552 ])"
1866,"array([-1.79655011, -1.68631026])"
1867,"array([-1.81229153, -1.70186113])"
1868,"array([-1.39319106, -1.64009539])"
1869,"array([-0.93622225, -1.74172732])"
1870,"array([-0.81766214, -1.50593258])"
1871,"array([-0.94405942, -1.78217058])"
1872,"array([-0.97018921, -1.76839592])"
1873,"array([-0.97130809, -1.79949394])"
1874,"array([-1.66361429, -1.69956028])"
1875,"array([-1.8908114 , -1.72592538])"
1876,"array([-1.74284165, -1.15692696])"
1877,"array([-1.10424159, -1.52016917])"
1878,"array([-0.68983886, -1.65021556])"
1879,"array([-1.1398174 , -1.67842187])"
1880,"array([-1.11571866, -1.30791168])"
1881,"array([-1.21602326, -1.26109706])"
1882,"array([-1.24044968, -2.04729893])"
1883,"array([-1.46208195, -2.07393902])"
1884,"array([-1.6091428 , -1.49392354])"
1885,"array([-1.30388578, -1.25060667])"
1886,"array([-0.98250752, -1.82276332])"
1887,"array([-1.50083385, -2.03453208])"
1888,"array([-0.79747988, -0.87666447])"
1889,"array([-0.39061597, -1.45610641])"
1890,"array([-0.58429643, -1.55892726])"
1891,"array([-1.49364835, -1.21703514])"
1892,"array([-1.49507555, -1.19196087])"
1893,"array([-1.43257629, -1.62392364])"
1894,"array([-1.29894883, -2.29099296])"
1895,"array([-1.30955793, -2.24665615])"
1896,"array([-0.44279011, -1.38226674])"
1897,"array([-1.36094468, -2.15588026])"
1898,"array([-1.14181902, -1.54765623])"
